Weight,A*_Time(ms),CA*_Time(ms),A*_Expansions,CA*_Expansions,A*_Generations,CA*_Generations,A*_Open,CA*_Open,A*_Quality,CA*_Quality
1,19.03,17.05,4054.88,3924.6,7395.42,6429.79,154.88,131.71,9.64,9.44
2,9.97,8.81,2089.12,2025.91,4063.09,3314.75,268.78,191.76,9.94,9.7
5,7.23,6.53,1537.1,1497.72,3159.53,2569.73,311.47,219.78,10.28,10.03
10,6.54,6.03,1416.06,1386.48,2842.11,2374.51,322.25,226.51,10.4,10.13
