Scenario,Weight,Algorithm,Time (ms),Expansions,Generations,Open,Quality,Path
2/10 (531359) to (531360),1,A*,0.014709,2,9,7,10,10
2/10 (531359) to (531360),1,CA*,0.007375,2,2,0,10,10
2/10 (531359) to (531360),2,A*,0.013125,2,9,7,10,10
2/10 (531359) to (531360),2,CA*,0.012458,2,2,0,10,10
2/10 (531359) to (531360),5,A*,0.015083,2,9,7,10,10
2/10 (531359) to (531360),5,CA*,0.007042,2,2,0,10,10
2/10 (531359) to (531360),10,A*,0.014584,2,9,7,10,10
2/10 (531359) to (531360),10,CA*,0.006208,2,2,0,10,10
3/10 (469535) to (471533),1,A*,0.020875,3,14,11,9.89949,28
3/10 (469535) to (471533),1,CA*,0.017542,3,7,4,9.89949,28
3/10 (469535) to (471533),2,A*,0.026083,3,14,11,9.89949,28
3/10 (469535) to (471533),2,CA*,0.0155,3,7,4,9.89949,28
3/10 (469535) to (471533),5,A*,0.020208,3,14,11,9.89949,28
3/10 (469535) to (471533),5,CA*,0.015875,3,7,4,9.89949,28
3/10 (469535) to (471533),10,A*,0.024125,3,14,11,9.89949,28
3/10 (469535) to (471533),10,CA*,0.013583,3,7,4,9.89949,28
4/10 (180155) to (571483),1,A*,42.5508,8656,17684,1048,9.89606,5324
4/10 (180155) to (571483),1,CA*,38.202,8640,16848,743,9.89606,5324
4/10 (180155) to (571483),2,A*,2.43767,427,1738,1304,10.1191,5444
4/10 (180155) to (571483),2,CA*,1.81058,429,1127,696,10.0894,5428
4/10 (180155) to (571483),5,A*,2.42575,418,1730,1312,10.1935,5484
4/10 (180155) to (571483),5,CA*,1.77642,423,1120,697,10.1191,5444
4/10 (180155) to (571483),10,A*,2.42021,418,1730,1312,10.1935,5484
4/10 (180155) to (571483),10,CA*,1.79629,423,1120,697,10.1191,5444
5/10 (757751) to (442396),1,A*,121.645,21528,42202,998,9.90306,5280
5/10 (757751) to (442396),1,CA*,106.643,21520,41068,775,9.90306,5280
5/10 (757751) to (442396),2,A*,17.5744,3332,8030,1300,10.4432,5568
5/10 (757751) to (442396),2,CA*,14.5281,3301,6297,749,10.4132,5552
5/10 (757751) to (442396),5,A*,7.94917,1583,4630,1374,10.9009,5812
5/10 (757751) to (442396),5,CA*,6.71717,1584,3300,774,10.9121,5818
5/10 (757751) to (442396),10,A*,6.29812,1265,3849,1391,11.1222,5930
5/10 (757751) to (442396),10,CA*,5.25908,1259,2693,779,11.0697,5902
6/10 (29103) to (307474),1,A*,173.828,29113,59437,757,9.91293,5334
6/10 (29103) to (307474),1,CA*,150.947,29067,54474,754,9.91293,5334
6/10 (29103) to (307474),2,A*,28.4404,5683,13488,1296,10.3218,5554
6/10 (29103) to (307474),2,CA*,26.5379,5642,10612,867,10.292,5538
6/10 (29103) to (307474),5,A*,31.712,5987,15647,1355,10.8496,5838
6/10 (29103) to (307474),5,CA*,27.3171,5981,11590,881,10.779,5800
6/10 (29103) to (307474),10,A*,31.8934,6101,15511,1368,11.0094,5924
6/10 (29103) to (307474),10,CA*,28.5482,6092,11796,890,10.9388,5886
7/10 (8011) to (754704),1,A*,539.895,83049,156218,1762,9.91057,10630
7/10 (8011) to (754704),1,CA*,468.495,83034,149675,1590,9.91057,10630
7/10 (8011) to (754704),2,A*,19.8107,4101,10395,2510,10.1418,10878
7/10 (8011) to (754704),2,CA*,17.1772,4150,8256,1500,10.1343,10870
7/10 (8011) to (754704),5,A*,19.1409,3790,10583,2591,10.6024,11372
7/10 (8011) to (754704),5,CA*,16.281,3785,7568,1496,10.5334,11298
7/10 (8011) to (754704),10,A*,18.913,3652,9608,2619,10.6583,11432
7/10 (8011) to (754704),10,CA*,16.0962,3654,7318,1512,10.5707,11338
8/10 (7375) to (582758),1,A*,981.329,136136,259939,709,9.90525,10640
8/10 (7375) to (582758),1,CA*,852.129,136083,238895,615,9.90525,10640
8/10 (7375) to (582758),2,A*,292.588,46899,103176,2140,11.3668,12210
8/10 (7375) to (582758),2,CA*,250.651,46887,86094,1373,11.3445,12186
8/10 (7375) to (582758),5,A*,107.333,19722,44239,2772,11.661,12526
8/10 (7375) to (582758),5,CA*,98.4413,19593,37128,1747,11.5828,12442
8/10 (7375) to (582758),10,A*,101.471,19116,41274,2839,11.8919,12774
8/10 (7375) to (582758),10,CA*,95.5,19127,36209,1777,11.7709,12644
9/10 (705715) to (626),1,A*,458.282,78108,137207,1705,9.91493,10666
9/10 (705715) to (626),1,CA*,409.727,77997,133098,1497,9.91493,10666
9/10 (705715) to (626),2,A*,44.1298,8785,20118,2608,10.9579,11788
9/10 (705715) to (626),2,CA*,39.3027,8612,16228,1599,10.9059,11732
9/10 (705715) to (626),5,A*,13.5359,2731,7868,2665,11.4487,12316
9/10 (705715) to (626),5,CA*,11.2738,2676,5648,1600,11.3521,12212
9/10 (705715) to (626),10,A*,10.6468,2158,6363,2675,11.564,12440
9/10 (705715) to (626),10,CA*,8.96879,2150,4679,1588,11.4376,12304
10/10 (3093) to (244238),1,A*,52.3075,10116,20862,605,9.88223,2784
10/10 (3093) to (244238),1,CA*,46.8892,10095,19985,588,9.88223,2784
10/10 (3093) to (244238),2,A*,1.34208,236,964,720,10.081,2840
10/10 (3093) to (244238),2,CA*,1.02367,237,644,405,10.0526,2832
10/10 (3093) to (244238),5,A*,1.36288,240,971,723,10.1094,2848
10/10 (3093) to (244238),5,CA*,1.05142,241,652,408,10.081,2840
10/10 (3093) to (244238),10,A*,1.3785,243,976,723,10.1094,2848
10/10 (3093) to (244238),10,CA*,1.06429,244,657,408,10.081,2840
1/10 (181324) to (179325),1,A*,0.023792,3,14,11,9.94113,24
1/10 (181324) to (179325),1,CA*,0.01575,3,7,4,9.94113,24
1/10 (181324) to (179325),2,A*,0.019875,3,14,11,9.94113,24
1/10 (181324) to (179325),2,CA*,0.01575,3,7,4,9.94113,24
1/10 (181324) to (179325),5,A*,0.01875,3,14,11,9.94113,24
1/10 (181324) to (179325),5,CA*,0.01375,3,7,4,9.94113,24
1/10 (181324) to (179325),10,A*,0.019791,3,14,11,9.94113,24
1/10 (181324) to (179325),10,CA*,0.012625,3,7,4,9.94113,24
2/10 (514376) to (511376),1,A*,0.021375,4,13,9,10,30
2/10 (514376) to (511376),1,CA*,0.018,4,8,4,10,30
2/10 (514376) to (511376),2,A*,0.021667,4,13,9,10,30
2/10 (514376) to (511376),2,CA*,0.016125,4,8,4,10,30
2/10 (514376) to (511376),5,A*,0.027042,4,13,9,10,30
2/10 (514376) to (511376),5,CA*,0.017459,4,8,4,10,30
2/10 (514376) to (511376),10,A*,0.023791,4,13,9,10,30
2/10 (514376) to (511376),10,CA*,0.014875,4,8,4,10,30
3/10 (448630) to (446630),1,A*,0.017083,3,12,9,10,20
3/10 (448630) to (446630),1,CA*,0.01125,3,5,2,10,20
3/10 (448630) to (446630),2,A*,0.019417,3,12,9,10,20
3/10 (448630) to (446630),2,CA*,0.017125,3,5,2,10,20
3/10 (448630) to (446630),5,A*,0.019334,3,12,9,10,20
3/10 (448630) to (446630),5,CA*,0.012167,3,5,2,10,20
3/10 (448630) to (446630),10,A*,0.018292,3,12,9,10,20
3/10 (448630) to (446630),10,CA*,0.011458,3,5,2,10,20
4/10 (582323) to (4364),1,A*,81.1624,15146,31343,1423,9.91066,6680
4/10 (582323) to (4364),1,CA*,71.1011,15096,28934,1205,9.91957,6686
4/10 (582323) to (4364),2,A*,4.39704,883,2576,1421,10.0531,6776
4/10 (582323) to (4364),2,CA*,3.43996,879,1888,854,10.0501,6774
4/10 (582323) to (4364),5,A*,3.99788,790,2426,1429,10.246,6906
4/10 (582323) to (4364),5,CA*,3.06904,785,1738,854,10.2311,6896
4/10 (582323) to (4364),10,A*,4.09371,812,2479,1439,10.335,6966
4/10 (582323) to (4364),10,CA*,3.44492,812,1793,863,10.2994,6942
5/10 (155480) to (490684),1,A*,519.469,83064,146996,552,9.90942,6672
5/10 (155480) to (490684),1,CA*,469.159,83029,135886,511,9.90942,6672
5/10 (155480) to (490684),2,A*,189.541,34477,68781,820,10.8006,7272
5/10 (155480) to (490684),2,CA*,168.603,34224,59415,737,10.7768,7256
5/10 (155480) to (490684),5,A*,72.0807,14003,29450,1355,11.8105,7952
5/10 (155480) to (490684),5,CA*,66.615,14038,24187,960,11.7808,7932
5/10 (155480) to (490684),10,A*,60.5089,12000,25056,1549,12.5412,8444
5/10 (155480) to (490684),10,CA*,56.3049,11985,20955,1102,12.369,8328
6/10 (607195) to (261663),1,A*,137.946,24689,49144,1012,9.91959,6692
6/10 (607195) to (261663),1,CA*,121.926,24627,43970,919,9.91959,6692
6/10 (607195) to (261663),2,A*,17.0967,3569,8994,1647,10.5244,7100
6/10 (607195) to (261663),2,CA*,18.0227,4500,8403,949,11.3871,7682
6/10 (607195) to (261663),5,A*,15.3251,3249,8391,1717,12.3624,8340
6/10 (607195) to (261663),5,CA*,13.1395,3262,6126,1029,12.315,8308
6/10 (607195) to (261663),10,A*,14.1169,3036,7768,1751,12.481,8420
6/10 (607195) to (261663),10,CA*,12.0437,3039,5680,1025,12.3446,8328
7/10 (95702) to (67290),1,A*,1577.01,209077,353245,1457,9.9386,13340
7/10 (95702) to (67290),1,CA*,1369.43,208962,334801,1327,9.9386,13340
7/10 (95702) to (67290),2,A*,329.63,57464,105145,1905,10.8073,14506
7/10 (95702) to (67290),2,CA*,289.136,57124,94216,1427,10.7477,14426
7/10 (95702) to (67290),5,A*,164.093,27311,70347,2486,11.9725,16070
7/10 (95702) to (67290),5,CA*,137.818,27317,50826,1659,11.9412,16028
7/10 (95702) to (67290),10,A*,125.049,21819,54580,2724,12.2839,16488
7/10 (95702) to (67290),10,CA*,106.412,21822,40438,1786,12.1677,16332
8/10 (105674) to (66799),1,A*,1579.69,209581,350451,1355,9.93469,13338
8/10 (105674) to (66799),1,CA*,1377.95,209491,332002,1211,9.93469,13338
8/10 (105674) to (66799),2,A*,374.652,64122,111084,1825,10.8955,14628
8/10 (105674) to (66799),2,CA*,330.595,63509,99185,1366,10.836,14548
8/10 (105674) to (66799),5,A*,176.822,29816,74638,2455,11.8832,15954
8/10 (105674) to (66799),5,CA*,150.171,29800,54324,1662,11.8504,15910
8/10 (105674) to (66799),10,A*,136.638,24035,59141,2723,12.2139,16398
8/10 (105674) to (66799),10,CA*,117.341,24007,43828,1815,12.0962,16240
9/10 (66996) to (110669),1,A*,2026.79,229851,400593,1307,9.93438,13316
9/10 (66996) to (110669),1,CA*,1769.44,229561,377889,1152,9.93438,13316
9/10 (66996) to (110669),2,A*,434.367,72114,128953,1815,11.2325,15056
9/10 (66996) to (110669),2,CA*,395.241,71622,115062,1441,11.2027,15016
9/10 (66996) to (110669),5,A*,177.514,31616,77595,2498,11.8383,15868
9/10 (66996) to (110669),5,CA*,152.667,31375,57031,1685,11.7816,15792
9/10 (66996) to (110669),10,A*,125.448,23805,57798,2681,12.1636,16304
9/10 (66996) to (110669),10,CA*,111.485,23733,43018,1759,12.0576,16162
10/10 (109744) to (336630),1,A*,152.864,26115,46908,256,9.90167,3748
10/10 (109744) to (336630),1,CA*,138.827,26043,44648,228,9.90167,3748
10/10 (109744) to (336630),2,A*,59.581,10814,26061,672,11.3811,4308
10/10 (109744) to (336630),2,CA*,50.7608,10817,19879,477,11.3388,4292
10/10 (109744) to (336630),5,A*,29.5661,5896,13180,887,12.5647,4756
10/10 (109744) to (336630),5,CA*,28.1659,5956,11560,574,12.5541,4752
10/10 (109744) to (336630),10,A*,24.4218,5041,11073,913,13.1089,4962
10/10 (109744) to (336630),10,CA*,23.5213,5077,9917,581,13.0825,4952
1/10 (22264) to (22467),1,A*,0.032291,4,19,15,9.92575,38
1/10 (22264) to (22467),1,CA*,0.020917,4,10,6,9.92575,38
1/10 (22264) to (22467),2,A*,0.029583,4,19,15,9.92575,38
1/10 (22264) to (22467),2,CA*,0.018666,4,10,6,9.92575,38
1/10 (22264) to (22467),5,A*,0.025166,4,19,15,9.92575,38
1/10 (22264) to (22467),5,CA*,0.019333,4,10,6,9.92575,38
1/10 (22264) to (22467),10,A*,0.02375,4,19,15,9.92575,38
1/10 (22264) to (22467),10,CA*,0.017209,4,10,6,9.92575,38
2/10 (406198) to (406197),1,A*,0.017958,2,9,7,10,10
2/10 (406198) to (406197),1,CA*,0.006917,2,2,0,10,10
2/10 (406198) to (406197),2,A*,0.013041,2,9,7,10,10
2/10 (406198) to (406197),2,CA*,0.006792,2,2,0,10,10
2/10 (406198) to (406197),5,A*,0.013042,2,9,7,10,10
2/10 (406198) to (406197),5,CA*,0.010208,2,2,0,10,10
2/10 (406198) to (406197),10,A*,0.013333,2,9,7,10,10
2/10 (406198) to (406197),10,CA*,0.005875,2,2,0,10,10
3/10 (196405) to (197406),1,A*,0.013417,2,9,7,9.89949,14
3/10 (196405) to (197406),1,CA*,0.011458,2,4,2,9.89949,14
3/10 (196405) to (197406),2,A*,0.014917,2,9,7,9.89949,14
3/10 (196405) to (197406),2,CA*,0.00775,2,4,2,9.89949,14
3/10 (196405) to (197406),5,A*,0.012083,2,9,7,9.89949,14
3/10 (196405) to (197406),5,CA*,0.008167,2,4,2,9.89949,14
3/10 (196405) to (197406),10,A*,0.012292,2,9,7,9.89949,14
3/10 (196405) to (197406),10,CA*,0.007958,2,4,2,9.89949,14
4/10 (231417) to (715379),1,A*,337.224,53460,107057,567,9.93957,6346
4/10 (231417) to (715379),1,CA*,299.443,53384,94849,510,9.93957,6346
4/10 (231417) to (715379),2,A*,82.846,14038,37582,1357,11.2552,7186
4/10 (231417) to (715379),2,CA*,68.3427,14012,26331,866,11.2302,7170
4/10 (231417) to (715379),5,A*,33.6672,6891,14368,1458,12.7526,8142
4/10 (231417) to (715379),5,CA*,32.742,6891,13416,1015,12.7526,8142
4/10 (231417) to (715379),10,A*,29.2512,5810,12073,1459,12.7526,8142
4/10 (231417) to (715379),10,CA*,26.9934,5810,11328,1008,12.7526,8142
5/10 (678226) to (333342),1,A*,571.677,77158,147543,1167,9.91496,6308
5/10 (678226) to (333342),1,CA*,509.391,77632,137192,1114,9.94954,6330
5/10 (678226) to (333342),2,A*,172.173,28705,59139,1222,10.2639,6530
5/10 (678226) to (333342),2,CA*,151.849,28572,48089,984,10.201,6490
5/10 (678226) to (333342),5,A*,146.102,24475,56381,1182,10.8455,6900
5/10 (678226) to (333342),5,CA*,129.518,24430,45258,951,10.77,6852
5/10 (678226) to (333342),10,A*,132.412,23045,50882,1165,10.8455,6900
5/10 (678226) to (333342),10,CA*,120.556,23031,43021,926,10.77,6852
6/10 (437199) to (29310),1,A*,343.228,58311,84529,711,9.93376,6340
6/10 (437199) to (29310),1,CA*,333.956,58177,82344,576,9.93376,6340
6/10 (437199) to (29310),2,A*,229.518,42469,63258,973,10.1469,6476
6/10 (437199) to (29310),2,CA*,225.102,42390,60979,808,10.0466,6412
6/10 (437199) to (29310),5,A*,147.504,26502,51326,948,10.6169,6776
6/10 (437199) to (29310),5,CA*,138.12,26416,43848,781,10.5135,6710
6/10 (437199) to (29310),10,A*,114.504,20365,41970,842,11.0995,7084
6/10 (437199) to (29310),10,CA*,107.646,20296,35192,665,10.9522,6990
7/10 (7814) to (559359),1,A*,3041.1,264547,478149,771,9.93485,12638
7/10 (7814) to (559359),1,CA*,2545.66,264598,451986,602,9.93957,12644
7/10 (7814) to (559359),2,A*,2101.62,201318,415475,992,10.5842,13464
7/10 (7814) to (559359),2,CA*,1894.36,201225,351841,832,10.559,13432
7/10 (7814) to (559359),5,A*,1066.41,119820,264762,1763,12.2853,15628
7/10 (7814) to (559359),5,CA*,883.219,119490,214204,1419,12.1988,15518
7/10 (7814) to (559359),10,A*,781.281,94880,199295,2242,12.4583,15848
7/10 (7814) to (559359),10,CA*,694.226,94871,171718,1699,12.3671,15732
8/10 (623) to (574381),1,A*,3194.97,260292,477030,761,9.94202,12670
8/10 (623) to (574381),1,CA*,2600.72,260145,449004,659,9.94202,12670
8/10 (623) to (574381),2,A*,1787.36,174756,369269,843,10.6263,13542
8/10 (623) to (574381),2,CA*,1474.79,174668,309022,727,10.5886,13494
8/10 (623) to (574381),5,A*,735.863,88109,203174,1959,12.2412,15600
8/10 (623) to (574381),5,CA*,616.114,88063,162970,1545,12.1752,15516
8/10 (623) to (574381),10,A*,629.807,79297,172153,2526,12.4091,15814
8/10 (623) to (574381),10,CA*,548.859,79319,146711,1927,12.3118,15690
9/10 (315182) to (540355),1,A*,3066.45,266114,457547,749,9.9326,12652
9/10 (315182) to (540355),1,CA*,2578.71,266083,433429,603,9.94987,12674
9/10 (315182) to (540355),2,A*,2113.57,205591,391069,1020,10.1524,12932
9/10 (315182) to (540355),2,CA*,1754.14,205477,337640,857,10.1634,12946
9/10 (315182) to (540355),5,A*,1062.51,121897,242648,1513,10.837,13804
9/10 (315182) to (540355),5,CA*,900.29,121909,203694,1302,10.8433,13812
9/10 (315182) to (540355),10,A*,844.587,104103,190157,1795,11.6644,14858
9/10 (315182) to (540355),10,CA*,751.972,104045,171942,1420,11.6315,14816
10/10 (230403) to (499127),1,A*,2865.87,252625,453714,775,9.92955,11240
10/10 (230403) to (499127),1,CA*,2372.22,252811,419838,689,9.94899,11262
10/10 (230403) to (499127),2,A*,1014.19,122712,233010,1282,10.4561,11836
10/10 (230403) to (499127),2,CA*,875.653,122571,206753,1144,10.4419,11820
10/10 (230403) to (499127),5,A*,672.059,89758,194188,1630,11.5144,13034
10/10 (230403) to (499127),5,CA*,574.442,89632,158883,1341,11.502,13020
10/10 (230403) to (499127),10,A*,610.99,84191,178134,1708,11.6699,13210
10/10 (230403) to (499127),10,CA*,536.486,84122,150310,1343,11.6239,13158
1/10 (49435) to (49532),1,A*,0.028959,4,17,13,9.95837,34
1/10 (49435) to (49532),1,CA*,0.018584,4,10,6,9.95837,34
1/10 (49435) to (49532),2,A*,0.022667,4,17,13,9.95837,34
1/10 (49435) to (49532),2,CA*,0.017542,4,10,6,9.95837,34
1/10 (49435) to (49532),5,A*,0.021875,4,17,13,9.95837,34
1/10 (49435) to (49532),5,CA*,0.017125,4,10,6,9.95837,34
1/10 (49435) to (49532),10,A*,0.022917,4,17,13,9.95837,34
1/10 (49435) to (49532),10,CA*,0.017125,4,10,6,9.95837,34
2/10 (204140) to (204138),1,A*,0.017583,3,12,9,10,20
2/10 (204140) to (204138),1,CA*,0.010583,3,5,2,10,20
2/10 (204140) to (204138),2,A*,0.015458,3,12,9,10,20
2/10 (204140) to (204138),2,CA*,0.009875,3,5,2,10,20
2/10 (204140) to (204138),5,A*,0.0165,3,12,9,10,20
2/10 (204140) to (204138),5,CA*,0.009625,3,5,2,10,20
2/10 (204140) to (204138),10,A*,0.014709,3,12,9,10,20
2/10 (204140) to (204138),10,CA*,0.010209,3,5,2,10,20
3/10 (2075) to (2076),1,A*,0.010833,2,9,7,10,10
3/10 (2075) to (2076),1,CA*,0.010959,2,2,0,10,10
3/10 (2075) to (2076),2,A*,0.013833,2,9,7,10,10
3/10 (2075) to (2076),2,CA*,0.005458,2,2,0,10,10
3/10 (2075) to (2076),5,A*,0.012417,2,9,7,10,10
3/10 (2075) to (2076),5,CA*,0.005334,2,2,0,10,10
3/10 (2075) to (2076),10,A*,0.011417,2,9,7,10,10
3/10 (2075) to (2076),10,CA*,0.005083,2,2,0,10,10
4/10 (48135) to (157477),1,A*,53.5275,11086,22334,637,9.93736,4474
4/10 (48135) to (157477),1,CA*,48.0956,11137,19265,430,9.98622,4496
4/10 (48135) to (157477),2,A*,15.8834,3567,7492,1082,11.5188,5186
4/10 (48135) to (157477),2,CA*,14.3205,3599,6000,668,11.4255,5144
4/10 (48135) to (157477),5,A*,14.4403,2982,7499,1152,12.354,5562
4/10 (48135) to (157477),5,CA*,12.6052,3034,5659,718,12.2251,5504
4/10 (48135) to (157477),10,A*,14.4269,3024,7574,1174,12.5183,5636
4/10 (48135) to (157477),10,CA*,12.725,3060,5758,716,12.3006,5538
5/10 (48669) to (445421),1,A*,74.2937,14271,27584,819,9.9218,4466
5/10 (48669) to (445421),1,CA*,68.1332,14200,24968,684,9.9218,4466
5/10 (48669) to (445421),2,A*,38.7459,7279,17428,959,11.3614,5114
5/10 (48669) to (445421),2,CA*,33.8843,7197,13606,646,11.237,5058
5/10 (48669) to (445421),5,A*,16.5824,3557,7426,1051,12.1345,5462
5/10 (48669) to (445421),5,CA*,15.6923,3538,6593,691,11.9879,5396
5/10 (48669) to (445421),10,A*,14.3975,3131,6453,1076,12.4456,5602
5/10 (48669) to (445421),10,CA*,13.7025,3132,5848,691,12.2101,5496
6/10 (435183) to (303449),1,A*,164.592,29919,53126,680,9.9359,4460
6/10 (435183) to (303449),1,CA*,150.204,29929,48927,586,9.94927,4466
6/10 (435183) to (303449),2,A*,62.388,11563,25260,791,11.6914,5248
6/10 (435183) to (303449),2,CA*,53.3822,11496,21097,589,11.6557,5232
6/10 (435183) to (303449),5,A*,35.2383,6400,16839,1089,13.1929,5922
6/10 (435183) to (303449),5,CA*,29.5827,6318,12133,743,13.1172,5888
6/10 (435183) to (303449),10,A*,29.198,5552,13742,1142,14.0751,6318
6/10 (435183) to (303449),10,CA*,29.1137,6395,12053,798,13.8613,6222
7/10 (2721) to (394503),1,A*,1064.01,126715,261066,1484,9.93465,8916
7/10 (2721) to (394503),1,CA*,883.107,126709,227354,1260,9.93465,8916
7/10 (2721) to (394503),2,A*,489.45,65995,147600,1531,11.8356,10622
7/10 (2721) to (394503),2,CA*,404.896,65734,118530,1179,11.8088,10598
7/10 (2721) to (394503),5,A*,136.867,22120,53896,1957,12.6467,11350
7/10 (2721) to (394503),5,CA*,117.634,22088,41669,1337,12.5932,11302
7/10 (2721) to (394503),10,A*,107.861,18374,42469,2076,13.2462,11888
7/10 (2721) to (394503),10,CA*,94.91,18309,34423,1391,13.1036,11760
8/10 (459505) to (638),1,A*,737.558,99820,178488,1375,9.9401,8936
8/10 (459505) to (638),1,CA*,639.308,99880,164245,1352,9.94677,8942
8/10 (459505) to (638),2,A*,151.661,26200,55489,1364,11.3973,10246
8/10 (459505) to (638),2,CA*,131.418,26115,46367,1004,11.3795,10230
8/10 (459505) to (638),5,A*,54.5732,9924,23910,2084,12.6053,11332
8/10 (459505) to (638),5,CA*,46.2058,9962,19090,1380,12.632,11356
8/10 (459505) to (638),10,A*,37.2669,7466,17266,2215,12.7944,11502
8/10 (459505) to (638),10,CA*,34.2545,7467,14355,1445,12.7433,11456
9/10 (5110) to (508474),1,A*,693.526,87892,170463,504,9.9299,8936
9/10 (5110) to (508474),1,CA*,585.455,87885,151133,477,9.9299,8936
9/10 (5110) to (508474),2,A*,294.351,44554,98733,1593,11.5367,10382
9/10 (5110) to (508474),2,CA*,248.627,44553,79254,1338,11.5167,10364
9/10 (5110) to (508474),5,A*,238.106,38514,90153,2034,12.5279,11274
9/10 (5110) to (508474),5,CA*,208.537,38476,71519,1576,12.4457,11200
9/10 (5110) to (508474),10,A*,211.058,36433,78924,1915,15.2682,13740
9/10 (5110) to (508474),10,CA*,193.083,36455,67507,1316,15.0726,13564
10/10 (39187) to (323193),1,A*,199.957,32106,61957,715,9.93078,4348
10/10 (39187) to (323193),1,CA*,180.145,31958,52200,684,9.93078,4348
10/10 (39187) to (323193),2,A*,96.6045,15944,38133,839,10.0404,4396
10/10 (39187) to (323193),2,CA*,84.5523,15922,29436,764,10.0404,4396
10/10 (39187) to (323193),5,A*,43.5612,8896,16652,804,12.1874,5336
10/10 (39187) to (323193),5,CA*,42.9743,8933,15727,707,12.128,5310
10/10 (39187) to (323193),10,A*,35.557,7488,13951,826,12.1874,5336
10/10 (39187) to (323193),10,CA*,35.1267,7514,13355,722,12.128,5310
1/10 (111624) to (113622),1,A*,0.025041,3,14,11,9.89949,28
1/10 (111624) to (113622),1,CA*,0.015458,3,7,4,9.89949,28
1/10 (111624) to (113622),2,A*,0.0195,3,14,11,9.89949,28
1/10 (111624) to (113622),2,CA*,0.016042,3,7,4,9.89949,28
1/10 (111624) to (113622),5,A*,0.018584,3,14,11,9.89949,28
1/10 (111624) to (113622),5,CA*,0.013167,3,7,4,9.89949,28
1/10 (111624) to (113622),10,A*,0.025833,3,14,11,9.89949,28
1/10 (111624) to (113622),10,CA*,0.014458,3,7,4,9.89949,28
2/10 (633725) to (631722),1,A*,0.02675,4,19,15,9.92575,38
2/10 (633725) to (631722),1,CA*,0.020209,4,10,6,9.92575,38
2/10 (633725) to (631722),2,A*,0.025542,4,19,15,9.92575,38
2/10 (633725) to (631722),2,CA*,0.017958,4,10,6,9.92575,38
2/10 (633725) to (631722),5,A*,0.026084,4,19,15,9.92575,38
2/10 (633725) to (631722),5,CA*,0.017,4,10,6,9.92575,38
2/10 (633725) to (631722),10,A*,0.023667,4,19,15,9.92575,38
2/10 (633725) to (631722),10,CA*,0.01775,4,10,6,9.92575,38
3/10 (602427) to (605425),1,A*,0.028209,4,19,15,9.92575,38
3/10 (602427) to (605425),1,CA*,0.021583,4,10,6,9.92575,38
3/10 (602427) to (605425),2,A*,0.032625,4,19,15,9.92575,38
3/10 (602427) to (605425),2,CA*,0.022208,4,10,6,9.92575,38
3/10 (602427) to (605425),5,A*,0.030292,4,19,15,9.92575,38
3/10 (602427) to (605425),5,CA*,0.021709,4,10,6,9.92575,38
3/10 (602427) to (605425),10,A*,0.02675,4,19,15,9.92575,38
3/10 (602427) to (605425),10,CA*,0.019292,4,10,6,9.92575,38
4/10 (739759) to (63163),1,A*,155.714,28492,62216,1355,9.95538,7776
4/10 (739759) to (63163),1,CA*,136.293,28476,54888,1118,9.95538,7776
4/10 (739759) to (63163),2,A*,39.312,7471,19533,2211,11.7887,9208
4/10 (739759) to (63163),2,CA*,34.0305,7527,14885,1417,11.7068,9144
4/10 (739759) to (63163),5,A*,38.3022,7347,15926,2202,13.1535,10274
4/10 (739759) to (63163),5,CA*,34.7425,7400,14092,1425,13.0844,10220
4/10 (739759) to (63163),10,A*,35.71,7172,14960,2207,13.6835,10688
4/10 (739759) to (63163),10,CA*,34.0455,7191,13596,1427,13.5248,10564
5/10 (2292) to (71944),1,A*,63.9838,12419,26760,1005,9.95841,7808
5/10 (2292) to (71944),1,CA*,0.014625,2,2,0,0,0
5/10 (2292) to (71944),2,A*,7.81025,1789,4121,1513,10.4278,8176
5/10 (2292) to (71944),2,CA*,0.010875,2,2,0,0,0
5/10 (2292) to (71944),5,A*,8.76908,1918,4954,1524,10.5834,8298
5/10 (2292) to (71944),5,CA*,0.011167,2,2,0,0,0
5/10 (2292) to (71944),10,A*,9.48762,2052,5296,1525,10.6344,8338
5/10 (2292) to (71944),10,CA*,0.010375,2,2,0,0,0
6/10 (135339) to (5552),1,A*,99.91,19277,34786,1326,9.91921,7798
6/10 (135339) to (5552),1,CA*,94.3913,19243,33321,1157,9.92684,7804
6/10 (135339) to (5552),2,A*,79.3568,14540,31403,1639,10.1329,7966
6/10 (135339) to (5552),2,CA*,71.2185,14502,25519,1229,10.1304,7964
6/10 (135339) to (5552),5,A*,75.363,14233,29573,1611,10.3517,8138
6/10 (135339) to (5552),5,CA*,70.832,14241,26063,1177,10.3237,8116
6/10 (135339) to (5552),10,A*,74.9387,14028,28795,1607,10.428,8198
6/10 (135339) to (5552),10,CA*,68.9248,14021,25610,1162,10.3492,8136
7/10 (443182) to (307485),1,A*,1572.88,212387,340824,726,9.92975,15540
7/10 (443182) to (307485),1,CA*,0.026375,8,8,0,0,0
7/10 (443182) to (307485),2,A*,1376.13,186283,309356,1181,9.96042,15588
7/10 (443182) to (307485),2,CA*,0.02725,8,8,0,0,0
7/10 (443182) to (307485),5,A*,358.671,62998,137078,2241,11.071,17326
7/10 (443182) to (307485),5,CA*,0.025084,8,8,0,0,0
7/10 (443182) to (307485),10,A*,301.537,55066,115169,2431,11.3048,17692
