Scenario,Weight,Algorithm,Time (ms),Expansions,Generations,Open,Quality,Path
10/10 (93) to (513),10,A*,0.07375,11,34,23,9.47508,116
10/10 (93) to (513),10,CA*,0.0605,11,27,16,9.47508,116
1/10 (7424) to (7327),1,A*,0.034541,4,17,13,9.95837,34
1/10 (7424) to (7327),1,CA*,0.021583,4,10,6,9.95837,34
1/10 (7424) to (7327),2,A*,0.02825,4,17,13,9.95837,34
1/10 (7424) to (7327),2,CA*,0.020208,4,10,6,9.95837,34
1/10 (7424) to (7327),5,A*,0.027541,4,17,13,9.95837,34
1/10 (7424) to (7327),5,CA*,0.019541,4,10,6,9.95837,34
1/10 (7424) to (7327),10,A*,0.026833,4,17,13,9.95837,34
1/10 (7424) to (7327),10,CA*,0.01925,4,10,6,9.95837,34
2/10 (186110) to (188113),1,A*,0.029084,4,19,15,9.92575,38
2/10 (186110) to (188113),1,CA*,0.019667,4,10,6,9.92575,38
2/10 (186110) to (188113),2,A*,0.028458,4,19,15,9.92575,38
2/10 (186110) to (188113),2,CA*,0.018791,4,10,6,9.92575,38
2/10 (186110) to (188113),5,A*,0.02775,4,19,15,9.92575,38
2/10 (186110) to (188113),5,CA*,0.0185,4,10,6,9.92575,38
2/10 (186110) to (188113),10,A*,0.027459,4,19,15,9.92575,38
2/10 (186110) to (188113),10,CA*,0.017208,4,10,6,9.92575,38
3/10 (78156) to (77154),1,A*,0.019042,3,14,11,9.94113,24
3/10 (78156) to (77154),1,CA*,0.013833,3,7,4,9.94113,24
3/10 (78156) to (77154),2,A*,0.01875,3,14,11,9.94113,24
3/10 (78156) to (77154),2,CA*,0.012292,3,7,4,9.94113,24
3/10 (78156) to (77154),5,A*,0.019083,3,14,11,9.94113,24
3/10 (78156) to (77154),5,CA*,0.01275,3,7,4,9.94113,24
3/10 (78156) to (77154),10,A*,0.028542,3,14,11,9.94113,24
3/10 (78156) to (77154),10,CA*,0.013875,3,7,4,9.94113,24
4/10 (1086) to (16785),1,A*,13.7353,2396,5760,340,9.94715,1846
4/10 (1086) to (16785),1,CA*,10.8471,2370,4350,276,9.94715,1846
4/10 (1086) to (16785),2,A*,2.56146,497,1468,369,10.292,1910
4/10 (1086) to (16785),2,CA*,2.06438,497,1031,238,10.292,1910
4/10 (1086) to (16785),5,A*,1.43979,314,808,368,10.777,2000
4/10 (1086) to (16785),5,CA*,1.26983,314,677,263,10.8093,2006
4/10 (1086) to (16785),10,A*,1.294,289,757,368,10.8848,2020
4/10 (1086) to (16785),10,CA*,1.113,289,632,263,10.8093,2006
5/10 (35113) to (15828),1,A*,16.7477,3581,7317,343,9.88764,1794
5/10 (35113) to (15828),1,CA*,15.5021,3551,6417,332,9.88764,1794
5/10 (35113) to (15828),2,A*,5.60767,1065,3026,420,11.0451,2004
5/10 (35113) to (15828),2,CA*,4.65763,1060,2105,251,11.001,1996
5/10 (35113) to (15828),5,A*,3.53125,776,1771,443,12.0482,2186
5/10 (35113) to (15828),5,CA*,3.37792,773,1546,294,12.0482,2186
5/10 (35113) to (15828),10,A*,3.07408,681,1568,450,12.0482,2186
5/10 (35113) to (15828),10,CA*,2.90875,679,1362,298,12.0482,2186
6/10 (12358) to (91147),1,A*,47.2602,9637,15618,492,9.86415,1854
6/10 (12358) to (91147),1,CA*,45.5159,10146,15162,460,10.194,1916
6/10 (12358) to (91147),2,A*,30.3978,6733,11148,439,10.0344,1886
6/10 (12358) to (91147),2,CA*,32.5036,7034,10511,381,10.3643,1948
6/10 (12358) to (91147),5,A*,48.6789,6761,12869,383,10.4175,1958
6/10 (12358) to (91147),5,CA*,32.6206,6835,10903,302,10.6622,2004
6/10 (12358) to (91147),10,A*,31.6046,6681,12388,397,10.4175,1958
6/10 (12358) to (91147),10,CA*,28.8684,6728,10614,311,10.6622,2004
7/10 (127170) to (174152),1,A*,51.9523,12103,16345,366,9.89022,3622
7/10 (127170) to (174152),1,CA*,51.1466,12103,15786,339,9.9066,3628
7/10 (127170) to (174152),2,A*,33.4922,7641,10608,503,10.2397,3750
7/10 (127170) to (174152),2,CA*,32.966,7645,9899,387,10.2561,3756
7/10 (127170) to (174152),5,A*,27.6925,6519,9307,535,10.5183,3852
7/10 (127170) to (174152),5,CA*,27.5042,6527,8517,402,10.5674,3870
7/10 (127170) to (174152),10,A*,26.5279,6375,9093,556,10.6275,3892
7/10 (127170) to (174152),10,CA*,26.1629,6370,8332,413,10.5674,3870
8/10 (6678) to (137182),1,A*,54.925,11811,18578,387,9.87049,3608
8/10 (6678) to (137182),1,CA*,51.7685,11810,16968,305,9.87049,3608
8/10 (6678) to (137182),2,A*,46.0825,10125,17283,498,10.2863,3760
8/10 (6678) to (137182),2,CA*,42.049,9800,14232,351,10.0675,3680
8/10 (6678) to (137182),5,A*,43.5076,9542,16643,499,10.7131,3916
8/10 (6678) to (137182),5,CA*,41.4695,9547,14512,345,10.6474,3892
8/10 (6678) to (137182),10,A*,42.6893,9451,16131,507,10.7569,3932
8/10 (6678) to (137182),10,CA*,41.294,9454,14376,349,10.6474,3892
9/10 (127176) to (169152),1,A*,49.9683,11720,15726,345,9.85661,3608
9/10 (127176) to (169152),1,CA*,49.5278,11720,15168,318,9.85661,3608
9/10 (127176) to (169152),2,A*,31.2802,7543,10317,511,10.2063,3736
9/10 (127176) to (169152),2,CA*,31.5119,7543,9670,393,10.2063,3736
9/10 (127176) to (169152),5,A*,26.69,6390,9168,530,10.5068,3846
9/10 (127176) to (169152),5,CA*,26.9014,6385,8383,398,10.5177,3850
9/10 (127176) to (169152),10,A*,26.0737,6279,9012,549,10.6161,3886
9/10 (127176) to (169152),10,CA*,26.1429,6277,8270,408,10.5177,3850
10/10 (9360) to (4878),1,A*,18.2965,4398,6491,198,9.83649,1974
10/10 (9360) to (4878),1,CA*,17.5555,4397,6082,162,9.83649,1974
10/10 (9360) to (4878),2,A*,15.3018,3759,5613,220,10.1554,2038
10/10 (9360) to (4878),2,CA*,14.8475,3758,5123,164,10.1554,2038
10/10 (9360) to (4878),5,A*,14.2236,3470,5338,236,10.4444,2096
10/10 (9360) to (4878),5,CA*,13.8716,3469,4779,176,10.4444,2096
10/10 (9360) to (4878),10,A*,13.9375,3441,5142,238,10.4444,2096
10/10 (9360) to (4878),10,CA*,13.773,3440,4716,178,10.4444,2096
1/10 (156124) to (155126),1,A*,0.026834,3,14,11,9.94113,24
1/10 (156124) to (155126),1,CA*,0.013458,3,7,4,9.94113,24
1/10 (156124) to (155126),2,A*,0.021375,3,14,11,9.94113,24
1/10 (156124) to (155126),2,CA*,0.014958,3,7,4,9.94113,24
1/10 (156124) to (155126),5,A*,0.019166,3,14,11,9.94113,24
1/10 (156124) to (155126),5,CA*,0.013416,3,7,4,9.94113,24
1/10 (156124) to (155126),10,A*,0.025542,3,14,11,9.94113,24
1/10 (156124) to (155126),10,CA*,0.013166,3,7,4,9.94113,24
2/10 (37662) to (37962),1,A*,0.025334,4,15,11,10,30
2/10 (37662) to (37962),1,CA*,0.014917,4,8,4,10,30
2/10 (37662) to (37962),2,A*,0.021917,4,15,11,10,30
2/10 (37662) to (37962),2,CA*,0.014459,4,8,4,10,30
2/10 (37662) to (37962),5,A*,0.021958,4,15,11,10,30
